Category,State/UT,By Consuming Sleeping Pills_Male,By Consuming Sleeping Pills_Female,By Consuming Sleeping Pills_Trans,By Consuming Sleeping Pills_Total,By Drowning_Male,By Drowning_Female,By Drowning_Trans,By Drowning_Total,By Fire/Self Immolation_Male,By Fire/Self Immolation_Female,By Fire/Self Immolation_Trans,By Fire/Self Immolation_Total,By Firearms_Male,By Firearms_Female,By Firearms_Trans,By Firearms_Total,By Hanging_Male,By Hanging_Female,By Hanging_Trans,By Hanging_Total,By Poison (Total)_Male,By Poison (Total)_Female,By Poison (Total)_Trans,By Poison (Total)_Total,By Poison (By Consuming Insecticides)_Male,By Poison (By Consuming Insecticides)_Female,By Poison (By Consuming Insecticides)_Trans,By Poison (By Consuming Insecticides)_Total,By Poison (By Consuming other Poison)_Male,By Poison (By Consuming other Poison)_Female,By Poison (By Consuming other Poison)_Trans,By Poison (By Consuming other Poison)_Total,By Self Inflicting  Injury_Male,By Self Inflicting  Injury_Female,By Self Inflicting  Injury_Trans,By Self Inflicting  Injury_Total,Jumping (Total)_Male,Jumping (Total)_Female,Jumping (Total)_Trans,Jumping (Total)_Total,Jumping (from Building)_Male,Jumping (from Building)_Female,Jumping (from Building)_Trans,Jumping (from Building)_Total,Jumping (from Other Sites)_Male,Jumping (from Other Sites)_Female,Jumping (from Other Sites)_Trans,Jumping (from Other Sites)_Total,Jumping (by Jumping off Moving Trains/Vehicles)_Male,Jumping (by Jumping off Moving Trains/Vehicles)_Female,Jumping (by Jumping off Moving Trains/Vehicles)_Trans,Jumping (by Jumping off Moving Trains/Vehicles)_Total,By Coming under Running Vehicles/Trains_Male,By Coming under Running Vehicles/Trains_Female,By Coming under Running Vehicles/Trains_Trans,By Coming under Running Vehicles/Trains_Total,By Touching Electric Wire_Male,By Touching Electric Wire_Female,By Touching Electric Wire_Trans,By Touching Electric Wire_Total,By Other Means_Male,By Other Means_Female,By Other Means_Trans,By Other Means_Total,Total_Male,Total_Female,Total_Trans,Total_Total,Total population
State,ANDHRA PRADESH,19,8,0,27,219,139,0,358,64,61,0,125,1,0,0,1,1685,693,0,2378,2061,680,0,2741,1513,515,0,2028,548,165,0,713,25,2,0,27,34,12,0,46,22,7,0,29,11,2,0,13,1,3,0,4,452,50,0,502,12,1,0,13,168,79,0,247,4740,1725,0,6465,53903393
State,ARUNACHAL PRADESH,0,0,0,0,9,3,0,12,0,0,0,0,2,0,0,2,56,26,0,82,1,1,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,14,81,31,0,112,1570458
State,ASSAM,6,5,0,11,207,54,0,261,8,18,0,26,7,8,0,15,1116,418,0,1534,167,117,0,284,167,117,0,284,0,0,0,0,19,16,0,35,40,18,0,58,2,8,0,10,0,0,0,0,38,10,0,48,103,10,0,113,6,27,0,33,0,0,0,0,1679,691,0,2370,35607039
State,BIHAR,30,10,0,40,56,17,0,73,12,18,0,30,1,0,0,1,174,130,0,304,93,40,0,133,88,35,0,123,5,5,0,10,4,4,0,8,7,6,0,13,7,6,0,13,0,0,0,0,0,0,0,0,4,5,0,9,13,16,0,29,1,0,0,1,395,246,0,641,124799926
State,CHHATTISGARH,7,0,0,7,238,53,0,291,110,238,0,348,12,1,0,13,2937,912,0,3849,1000,546,0,1546,613,327,0,940,387,219,0,606,34,8,0,42,114,13,0,127,16,1,0,17,9,0,0,9,89,12,0,101,54,15,0,69,23,6,0,29,991,317,0,1308,5520,2109,0,7629,29436231
State,GOA,1,0,0,1,18,12,0,30,4,5,0,9,0,0,0,0,155,34,0,189,15,4,0,19,12,3,0,15,3,1,0,4,1,0,0,1,4,0,0,4,2,0,0,2,0,0,0,0,2,0,0,2,3,2,0,5,0,0,0,0,0,1,0,1,201,58,0,259,1586250
State,GUJARAT,8,4,0,12,380,135,0,515,130,251,0,381,8,3,0,11,2489,1133,1,3623,1653,865,0,2518,1215,625,0,1840,438,240,0,678,23,7,0,30,132,30,0,162,65,23,0,88,12,1,0,13,55,6,0,61,320,43,0,363,2,0,0,2,23,15,0,38,5168,2486,1,7655,63872399
State,HARYANA,0,2,0,2,261,37,0,298,27,20,0,47,5,0,0,5,899,278,0,1177,462,224,0,686,241,95,0,336,221,129,0,350,15,1,0,16,181,19,0,200,2,4,0,6,33,4,0,37,146,11,0,157,220,48,0,268,154,18,0,172,1073,247,0,1320,3297,894,0,4191,28204692
State,HIMACHAL PRADESH,0,0,0,0,9,4,0,13,4,5,0,9,4,0,0,4,178,97,0,275,179,101,0,280,178,101,0,279,1,0,0,1,1,0,0,1,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,207,0,584,7451955
State,JAMMU & KASHMIR,0,0,0,0,4,3,0,7,4,4,0,8,4,1,0,5,45,24,0,69,80,89,0,169,42,45,0,87,38,44,0,82,0,1,0,1,3,0,0,3,1,0,0,1,0,0,0,0,2,0,0,2,4,1,0,5,4,0,0,4,9,4,0,13,157,127,0,284,13606320
